FDRID,BatchName,Guarantor1,Quiet_Enjoyment1,Business_Interruption_Insurance1,Default_Interest_and_Late_Charges1,Renewal_option1,Termination1,Due_date1,Late_Fee1,Default_Interest_charges1,Renewal_option_Stated_in_the_Lease1,Renewal_option_Time_is_of_the_essence1,Termination_Stated_in_the_Lease1,Termination_Time_is_of_the_essence1
KU-073,Batch_2020-05-20_11-05-34,"KENDRA SCOTT DESIGN , INC. (a Delaware corporation) (the ""Guarantor""), does hereby on behalf of itself, its successors and assigns, unconditionally covenant and agree with Landlord , its successors and assigns , that Tenant is a wholly owned subsidiary of Guarantor , and that if default shall at any time under the Leasebe made by Tenant, its successors and assigns , in the payment of any monthly installment of rent, or additional rent, or in the performance of any of the terms, covenants and conditions of the Lease, and if the default shall not have been cured within the time specified in the Lease for curing the same, then Guarantor will well and truly pay on demand in cash the monthly installment of rent and additional rent and cure such other default together with such costs and expenses (including without limitation attorney fees) incurred by Landlord as a result of or arising out of the default for which Tenant, its successors and assigns are obligated to Landlord pursuant to the terms of the Lease . This Guaranty shall include any liability of Tenant that shall accrue under the Lease for any period preceding as well as any period following the term of the Lease. ","Landlord has the right, power and authority to enter into this Lease. Tenant, or any permitted assignee or sublessee of Tenant, upon the payment of the rental and performance of Tenant's other covenants, shall and may peaceably and quietly have, hold and enjoy the Leased Premises during the Term. This covenant shall be construed as a covenant running with the land. It shall not be construed as a personal covenant of Landlord."," Loss of Business Income Insurance, including Extra Expense and Contingent Business income coverage. The insurance limits for this insurance shall be based upon a minimum of 12 months business income with a 60-day extended period of indemnity endorsement. ","The Minimum Annual Rental shall be payable in 12 equal monthly installments in advance, upon the 1st day of each and every month during the periods oftime specified in the Reference Provisions.   If under ARTICLE 3 rental begins on a day other than the 1st day of a month, the monthly installment of Minimum Annual Rental for the period from the Rental Commencement Date until the 1st day of the month next following shall be prorated accordingly.  All past due rental, additional rental, and other sums due Landlord under this Lease shall bear interest from the due date five (5) days after Landlord's notice until paid by Tenant, at the rate of2% above the Prime Rate (as defined below), not to exceed the maximum rate of interest allowed by law in the state where the Shopping Center is located (the ""Interest Rate"").  The interest shall be deemed to be additional rental.  All rental provided for in this Lease shall be paid to Landlord at the address in the Reference Provisions or to another payee or address that Landlord designates.""Prime Rate"" wherever it appears in the Lease means the prime rate (or base rate) reported in the Money Rates column or section of The Wall Street Journal as being the base rate on corporate loans at large U.S. money center commercial banks (whether or not that rate has been charged by any bank).  If The Wall Street Journal ceases publication of the prime rate, Prime Rate shall mean the highest rate charged by Chase (or its successor) on short term unsecured loans to its most creditworthy large corporate borrowers.  If The Wall Street Journal (i) publishes more than one prime rate or base rate, the higher or highest of the rates shall apply, or (ii) publishes a retraction or correction of that rate, the rate reported in that retraction or correction shall apply. ",Not Defined,"rovided Tenant (i) is open and operating for business in the Leased Premises, and (ii) is not otherwise in default of the terms of this Lease beyond written notice and any applicable cure period, if Tenant's Net Sales (as deimed in ARTICLE 5) made from the Leased Premises fail to exceed $900,000.00 (the ""Threshold Amount"") beginning on the first day of the 37th full calendar month after Tenant opens for business to the public and ending on the last day of the 48th full calendar month after the date the Tenant opens for business to the public in the Leased Premises (the ""Measuring Period""), Tenant shall have the right to terminate this Lease upon 120 days' advance written notice to Landlord given any time within 30 days following the end of the Measuring Period. Notwithstanding the above, if Tenant's Net Sales made from the Leased Premises exceed the Threshold Amount during the Measuring Period the aforesaid right becomes null and void.  If Tenant exercises its right to terminate this Lease as provided above, Tenant shall pay Landlord a termination fee equal to the portion of the Construction Allowance which remains unamortized as of the effective date of such termination.  "," in advance, upon the 1st day of each and every month ","Tenant shall also pay Landlord, as liquidated damages, a late payment fee equal to the greater of$100.00 or 5% ofthe delinquent rental for each and every month, or part of every month that the rental remains unpaid. T","shall bear interest from the due date five (5) days after Landlord's notice until paid by Tenant, at the rate of2% above the Prime Rate (as defined below), not to exceed the maximum rate of interest allowed by law in the state where the Shopping Center is located (the ""Interest Rate"")",Not Defined,Not Defined,Termination Right:,Time is of the essence
MAK-085,Batch_2020-05-20_11-05-34,Not Defined,"If and for so long as Tenant pays all rent and performs all covenants and conditions hereunder on the part of Tenant to be performed, Landlord covenants and agrees that Tenant, subject to the terms and provisions ofthis Lease, on payment of the rent and observing, keeping and performing all of Tenant's covenants, shall lawfully, peaceably and quietly have, hold, occupy and enjoy the Leased Premises and any appurtenant rights granted to Tenant under this Lease during the Lease Term without hindrance or ejection by any persons lawfully claiming under Landlord, subject to the other terms and conditions of this Lease, and to all ground leases, mortgages or deeds of trust, and other matters to which this Lease is or may become subject and subordinate. ",Not Defined,All installments of rent and any other sums payable by Tenant hereunder which are not paid within ten (10) days after notice from Landlord to Tenant of Tenant's failure to pay said installment when due shall bear interest from the date due until paid at a per annum rate of interest equal to the lesser of (i) the maximum rate of interest allowed or permitted from time to time by applicable law and (ii) eighteen percent (18%) per annu m.,"Tenant is hereby granted and shall, provided that no monetary Event of Default or material nonmonetary Event of Default then exists under this Lease, have options to renew or extend the Lease Term for two (2) additional periods of six (6) years on the same terms, covenants and conditions herein contained except that the Minimum Rent herein prescribed shall be adjusted such that Minimum Rent for each of the renewal terms shall be an amount equal to the greater of(i) eighty-five percent (85%) of the then ""Market Rate"" (as hereinafter defined), (ii) the Minimum Rent payable by Tenant to Landlord hereunder for the immediately preceding Lease Year or (iii) the amount that would constitute Minimum Rent under the Lease in the event Minimum Rent were deemed to have increased during such renewal term (and any prior renewal term, if applicable) in the same manner as Minimum Rent increases during the initial Lease Term pursuant to Section 4.2 of the Lease, with such increases to be effective on the first day of the first option period, the first day of the fourth year of the first option period, the first day of the second option period and the first day of the fourth year of the second option period.",Not Defined,"On each of June 1, 2009, June 1, 2013, and June 1, 2017,",Not Defined,interest equal to the lesser of (i) the maximum rate of interest allowed or permitted from time to time by applicable law and (ii) eighteen percent (18%) per annu,RENEWAL OPTION,Time is of the essence hereof.,Not Defined,Not Defined
MAK-086,Batch_2020-05-20_11-05-34,Not Defined,"Landlord covenants that if Tenant pays the Rent and all otl1er charges provided for in this and observes all of the other provisions of this Lease, Tenant shall peaceably and quietly enjoy the Demised Premises without any intenuption or disturbance from Landlord. ",Not Defined,"It is understood that the Minimum Guaranteed Rental is payable on or before the first day of each calendar month (in accordance with Section 4.3 above) and Percentage Rental, if any, is payable on or before the twentieth (20tll) day of each calendar month, without offset or deduction except as set forth in the Lease. In the event any Rent is not received within ten (10) days after its due date more than two (2) times in any twelve (12) month period, then for the duration of such 12-month period, if any Rent is not paid within ten (10) days of when due, then in addition to the past due an10unt, Tenant shall pay to Landlord both of the following (unless one of the following is improper under applicable law, in which event such improper sum will not be  to be paid under this Lease): (a) liquidated damages in an amount equal to Two Hundred Fifty Dollars ($250.00), in order to compensate Landlord for its adnrinistrative and other overhead expenses;  and (b) interest on the Rent then due at the Maximum .Rate, such interest to accme continuously on any unpaid balance due to Landlord by Tenant during the period commencing with the Rent due date and terminating with the date on which Tenant makes full payment of all amounts owing to Landlord at the time of said payment.  Any such liquidated damages or interest payment shall be payable as Additional Rental under this Lease, shall not be considered as a deduction from Minimum Guaranteed Rental, Percentage  Rental, or any other amount  payable by Tenant under this Lease, and shall be payable immediately on demand. Notwithstanding anything contained in this Section 4.6 or in this Lease to the contrary, no sum received by Landlord under this Lease as interest shall ever exceed the Maximum Rate, and Landlord shall immediately refund or credit Tenant any amount received under this Lease in excess  of  the Maximum Rate","Tenant is granted the options to extend the term of this Lease for two (2) consecutive extended terms of six (6) years each (each a ""Renewal Term""), provided (a) Tenant is not in default under any term of this Lease beyond any applicable notice and cure period at the time of exercise of the respective option, and (b) Tenant gives written notice of its exercise of the respective option at least one hundred eighty (180) days prior to the expiration of the original term of this Lease or the expiration of the then existing Renewal Ten11. Each Renewal Term shall be upon the same terms and conditions contained in this Lease except (i) Tenant shall have no further right of renewal after the last Renewal Term prescribed above, and (ii) subject to adjustment pursuant to Section 4.1 of this Lease, on the first day of the first Lease Year during the first Renewal Term, on the first day of the fifth (51h) Lease Year during the first Renewal Term and on the first day of the third (3'd) Lease Year during the second Renewal Tem1, monthly Minimum Guaranteed Rental shall be increased by the lesser of (a) the cumulative increase in the Index for the prior four (4) years or (b) nirle percent (9%). The amount so calculated shall constitute the new monthly Minimum Guaranteed Rental payable under this Lease for Lease Years 1 - 4 of the first Renewal Term; 5-6 of the first Renewal Term and 1 -2 of the second Renewal Term and Lease Years 3 - 6 of the second Renewal Term, respectively; provided, however, in no event shall the new monthly Minimum Guaranteed Rental be less than the Minimum Guaranteed Rental payable for the immediately precedirlg month. ",Not Defined,due and payable on or before the first day of each succeeding calendar month,"enant shall pay to Landlord both of the following (unless one of the following is improper under applicable law, in which event such improper sum will not be to be paid under this Lease): (a) liquidated damages in an amount equal to Two Hundred Fifty Dollars ($250.00), in order to compensate Landlord for its adnrinistrative and other overhead expenses;","interest on the Rent then due at the Maximum .Rate, such interest to accme continuously on any unpaid balance due to Landlord by Tenant during the period commencing with the Rent due date and terminating with the date on which Tenant makes full payment of all amounts owing to Landlord at the time of said payment. ",RENEWAL OPTION,Not Defined,Not Defined,Not Defined
MAK-078,Batch_2020-05-18_00-23-16,Not Defined,"Landlord has the right, power and authority to enter into this Lease. Tenant, or any permitted assignee or sublessee of Tenant, upon the payment of the rental and performance of Tenant's other covenants, shall and may peaceably and quietly have,  hold and enjoy the Leased Premises during the Tem1. This covenant shall be construed as a covenant running with the land.  1t shall not be constmed as a personal covenant of Landlord.",Not Defined,"All past due rental, additional rental, and other sums due Landlord under this Lease shall, if not paid  within  five  (5)   days   after  written  notice  from  Landlord   to Tenant, bear interest fiúom the due elate until paid by Tenant, at the rate of2% above the Prime Rate (as defined below), not to exceed the maximum rate of interest allowed by law in the state where the Shopping Center is located (the ""Interest Rate""). The interest shall be deemed to be additional rental. All rental provided for in this Lease shall  2 C:\Documents and Seltings\user45\Local  Settings\Temporary Internet Files\OLK94\Eyemart  Express_3000_ Clean 3-3-1 O.doc be paid to Landlord at the address in the Reference Provisions or to another payee or address that Landlord designates.  ""Prime Rate"" wherever it appears in the Lease means the prime rate (or base rate) reported in the Money  Rates column or section of The Wall StTeet Journal as being the base rate on corporate loans at large US. money center commercial banks (whether or not that rate has been charged by any bank). If The Wall Street Journal ceases publication of the prime rate, Prime Rate shall mean the highest rate charged by Bank One (or its successor) on short tern1 unsecured loans to its most creditworthy large corporate boJTowers. If The Wa11 Street Journal (i) publishes more than one prime rate or base rate, the higher or highest of the rates sha11 apply, or (ii) publishes a retraction or conection of that rate, the rate reported in that retraction or conection shall apply.  ","Tenant (or a permitted assignee of Tenant) shall have the right and option, if Tenant is not then in default of beyond any applicable grace or cure period, and is in possession of the Leased Premises, to extend the Term of the Lease for three (3) additional 5 year periods, by notifying Landlord in writing at least 180 days notice prior to the  Expiration  Date  or  the  then relevant Option Period forth in Reference Provision  1.34  (individually  and  collectively,  the ""Extension Period""). The Extension Period shall be upon all of the same terms, provisions and conditions set forth in this lease, except that for each calendar year during the Extension Period, the rental amount which shall be payable as outlined in the lease hereof, shall be as follows to  Option  Period   1 (6/1/2015)(5/31/20 16)$48,680.00 per year($4,056.67 per month)(611/20 16)(5/31/2017)$50,640.00 per year($4,220.00 per month)(611/2017)(5/31/2018)$52,680.00 per year($4,390.00 per month)(6/1/2018)(5/31/2019)$54,800.00 per year($4,566.67 per month(611/2019)(5/31/2020)$57,000.00 per year($4,750.00 per month)Option Period 2(611/2020)(5/31/2021)$59,280.00 per year($4,940.00 per month)(611/2021)(5/31/2022)$61,640.00 per year($5,136.67 per month)(611/2022)(5/31/2023)$64,120.00 per year($5,343.33 per month)(6/1/2023)(5/31/2024)$66,680.00 per year($5,556.67 per month)(6/1/2024)(5/31/2025)$69,360.00 per year($5,780.00 per month)Option Period 3(6/1/2025)(5/31/2026)$72,120.00 per year($6,010.00 per month)(6/1/2026)(5/31/2027)$75,000.00 per year($6,250.00 per month)(6/1/2027)(5/31/2028)$78,000.00 per year($6,500.00 per month)  R-4 C:\Documents  and  Settings\user45\Local  Settings\Temporary  Internet Files\OLK94\Eyemart  Express_3000_C!ean  3-3-lO.doc (6/l/2028) (6/l/2029) (5/31/2029) (5/31/2030) $81,120.00 per year $84,360.00 per year ($6,760.00 per month) ($7,030.00 per month) ",Not Defined,1st day of each and every month ,"Tenant shall also pay Landlord, as liquidated damages, a late payment fee equal to the greater of $100.00 or 5% ofthe delinquent rental for each and every month, or part of every month that the rental remains unpaid. ","All past due rental, additional rental, and other sums due Landlord under this Lease shall, if not paid  within  five  (5)   days   after  written  notice  from  Landlord   to Tenant,  bear interest fiúom the due elate until paid by Tenant, at the rate of2% above the Prime Rate (as defined below), not to exceed the maximum rate of interest allowed by law in the state where the Shopping Center is located (the ""Interest Rate""). ",Option to Extend,Not Defined,Not Defined,Not Defined
MAK-079,Batch_2020-05-18_00-23-16,Not Defined,"Tenant shall be entitled to the quiet enjoyment of the Premises so long as it is not in default under this Lease beyond any applicable notice and cure periods, that there are no private covenants restricting the use of the Center, and that Tenant's intended use of the Premises is permitted by the City of Saint Paul zoning code",Not Defined,"If Tenant shall fail to pay rent or any other charge  to be paid under this Lease more than 10 days after notice from 0\\rner of Tenant's failure to pay the same when due, Tenant shall pay Owner upon written request a late charge of 5 percent of the amount past due , plus interest on the amount past due at the prime rate published on the date of such notice  in the Wall Street Journal, plus 2 percent per annum (or the highest legal rate if such prime rate plus 2 percent per annum exceeds such legal rate) from the date due through the date paid. ","For both the Street Level Space and the Lower Level Space during the first extension ofthe Term, if Tenant exercises its first option to extend the Term, Annual Rent shall be equal to the greater of (y) 80 percent of Market Rent (as defined in Section l(h)) or (z) 110 percent of the Annual Rent paid for the last year of the initial Term; and For both the Street Level Space and the Lower Level Space during the second extension of the Term, if Tenant  exercises  its second option to extend the Term, Annual Rent shall be equal to the greater of (y) 80 percent of Market Rent (as defined in Section 1(h)) or (z) 110 percent of the Annual Rent paid for the last year of the first extension of the initial Term.  ",Not Defined,on or buforc the first day,"Tenant's failure to pay the same when due, Tenant shall pay Owner upon written request a late charge of 5 percent of the amount past due","plus interest on the amount past due at the prime rate published on the date of such notice in the Wall Street Journal,  plus 2 percent per annum (or the highest legal rate if such prime rate plus 2 percent per annum exceeds such legal rate) from the date due through the date paid.", extension ofthe Term,Not Defined,Not Defined,Not Defined
SAK-030,Batch_2020-05-18_00-23-16,"GUARANTOR :    WILLIAMS-SONOMA,  INC.","Subject to the terms and provisions of this Lease, and on Tenant's payment of Rent, Percentage Rent and Additional Rent, and observing, keeping and performing all of the terms and provisions of this Lease on its part to be observed, kept and performed, Tenant shall lawfully, peaceably and quietly have, hold and enjoy the Premises during the Term on and after the Term Commencement Date, without hindrance or ejection by any persons lawfully claiming under Landlord; but it is understood and agreed that this covenant, and any and all other covenants of Landlord contained in this Lease shall be binding upon Landlord and its successors only with respect to breaches occurring during its and their respective ownership of Landlord's interest in the Premises.",Not Defined,"If during the Term Tenant fails to pay the full amount of the Monthly Rent, Percentage Rent or ""Additional Rent"" (defined in Section 3.11 below) when the same is due and payable, then interest equal to the lesser of (i) one and one-half percent (1Y:.%) per month or (ii) the maximum rate then permitted by law, shall accrue on the unpaid portion from and after the date on which any such sum shall be due and payable, and such interest, together with a late charge of One Hundred and 00/100 Dollars ($100.00) for each past due payment to  cover  the  extra expense involved in handling such delinquency, shall be paid to Landlord at the time of payment of the delinquent sum. Landlord shall have the right to apply any payments made by Tenant first to any deficiency in the payment of the interest and administrative charges due.  Notwithstanding anything contained herein to the contrary, Tenant shall not be obligated to pay any interest or late fee in connection with the f1rst two (2) late payments in any Lease Year, so long as such payment is received within ten (10) days after written Notice from Landlord.",Not Defined,Not Defined,upon the first day of each calendar month," interest equal to the lesser of (i) one and one-half percent (1Y:.%) per month or (ii) the maximum rate then permitted by law, shall accrue on the unpaid portion from and after the date on which any such sum shall be due and payable, and such interest, together with a late charge of One Hundred and 00/100 Dollars ($100.00) for each past due payment  to  cover  the  extra expense involved in handling such delinquency, shall be paid to Landlord at the time of payment of the delinquent sum. Landlord shall have the right to apply any payments made by Tenant first to any deficiency in the payment of the interest and administrative charges due.",Not Defined,Not Defined,Not Defined,Not Defined,Not Defined
SAK-031,Batch_2020-05-18_00-23-16,Not Defined,"Tenant is not in default hereunder, it shall peaceably and quietly hold and enjoy the Leased Premises for the Term hereby demised without hindrance or interruption by the Landlord or  any  other  person  lawfully claiming by, through or under the Landlord.  ","interruption  insurance,  including loss of profits;", on the first day of each calendar month ,"Provided that the Tenant is Williams-Sonoma Canada, Inc. and this Lease shall not have been terminated for any cause whatsoever then the Tenant shall have the option to renew this Lease for a further period of Six (6) years (the ""First Renewal Term"") commencing on the day immediately following the date of expiration of the initial Term, on the same terms and conditions as contained in this Lease, save and except for this option to renew and any further option to renew and any free rent, tenant allowances and financial or other incentives, and subject, however, to the following: The Tenant shall have notified the Landlord in writing at least one hundred eighty (180) days , but not more than three hundred and sixty-five (365) days, prior to the expiration of the initial Term, exercising its right to renew for a further Six (6) year period;The Minimum Rent, Percentage Rent and the Fixed Rate shall continue to increase at the same time and at the same increments and rates as set forth in this Lease. the Promotional Fund and the Media Fund shall remain the same (vvithout anv increases);The option to renew shall include rhe Storage Premises and Customer Pick-Up Area; andThe giving of such notice shall be validly given only if, at the time it is given, the Tenant shall not be in material  and/or continuing and/or repeated default or breach of any of its obligations under this Lease.  ""Material breach or default"" shall mean a default or breach of which the Landlord has notified the Tenant and: (i) the Tenant has not cured such default or breach within ten ( lO) days of receiving notice of same; or (ii) such default or breach is not curable within ten (10) days and the Tenant has not diligently commenced to cure such default or breach within ten (10) days of receiving notice of same; or (iii) such default or breach is not curable within ten (10) days and the Tenant, although having diligently commenced to cure within ten (10) days of receiving notice of same, does not actively and expeditiously proceed to fmalize the cure to such default or breach.   There shall be no further option to renew this Lease or extend the Term.  ","Provided the Tenant is Williams-Sonoma Canada, Inc., is in possession of the Leased Premises, is and has been continually operating the business within the Leased Premises from and as of the Commencement  Date,  subject  to  a  temporary  closure  arising from  Unavoidable Delay pursuant to the terms and condiltions of the Lease  or  a  temporary  closure  of  the  Leased  Premises  as  specifically  permitted pursuant to Section 10.4(3) and 10.4(4) and  any temporary  closure as may  be permitted  pursuant  to Article  XIII of this Lease  and then only provided such  temporary  closure of  the Leased  Premises  shall be  strictly in  accordance  to those terms  and  conditions  so provided and set forth for the specified temporary closure, provided the Tenant has not assigned this Lease or sublet the Leased Premises except as permitted pursuant to the terms and conditions of this Lease, and is not then in default of the terms and conditions of the Lease then, Tenant shall have the right to terminate tills Lease and any interest it may have in the Leased Premises on January 31st following the end of the Sixth (6th) Lease Year if sales for the Fifth (5th) Lease Year are less than  Seven Million Dollars ($7,000,000.00). The Tenant must give written notice witllln ninety (90) days following expiry of the Fifth (5th) Lease Year exercising its right to terminate this Lease and any interest it may have in the Leased Premises. If the Tenant elects to exercise its right to terminate this Lease, the Tenant shall not be  to pay back any portion of the Tenant Allowance. Upon receipt of the Tenant's Notice to Terminate, the Landlord shall have the right to extend the Term of the Lease for one (1)  additional Lease Year (with the intent that the Lease Term shall not terminate prior to the end of the seventh (7th) Lease Year), upon the same terms and conditions as set forth in this Lease save and except that Minimum  Rent, Percentage  Rent, the Fixed  Rate, Promotion Fund Contribution  and Media Fund  Omtribution   shall  be  waived  and  the  Tenant  shall  pay,  in  lieu  thereof  that  amount equal to eight percent (8%) of Gross Sales for such additional Lease Year inclusive, reported and payable  monthly  and  calculated cumulatively for such additional Lease Year. For clarity, the Tenant shall still be obligated to pay all other charges that are the Tenant's obligation pursuant to the terms and conditions of the Lease.   The Tenant's Option to Renew shall forthwith become null and void.",on the first day of each calendar month,"Tenant shall pay interest thereon at a rate equal to the lesser of two (2%) percent per month compounded and payable monthly or the maximum  rate permitted  by  law on the unpaid amount, from the  date due until  paid  as well  after as before  termination  hereof  and/or judgement,  which  interest the Tenant acknowledges is not a penalty but is a genuine pre-estimate of the damage, of all natures, to be suffered by the Landlord in the event of such Act of Default. ",Not Defined,OPTION TO RENEW,Time shall be of the essence,TERMINATE ,Time of Essence
SAK-032,Batch_2020-05-18_00-23-16,Not Defined,"Landlord covenants that, upon Tenant's payment of the Rent  hereunder and its performance of all of the terms and conditions of the Lease, Tenant's peaceful and quiet enjoyment of the Leased Premises shall not be disturbed by Landlord  or  anyone  properly claiming by, through or under Landlord. Notwithstanding the foregoing, this provision is subject to all mortgages, encumbrances, easements and underlying leases to which this Lease may be or become subordinate.",business interruption insurance,on the first day of each calendar month ,"Provided Tenant is not in default of the Lease beyond any applicable notice and cure period and Tenant is in actual physical possession  of  all  of  the Leased Premises (and operating and open for business as contemplated by this Lease, in all of the Leased Premises), Tenant shall have the right to extend the term of this Lease set forth in Article 1 (the ""Original Term"") for three consecutive additional periods  of five  years eachú (the ""First Additional Term"", the ""Second Additional Term"" and the ""Third Additional Term"").   In order to exercise an option, Tenant must deliver to Landlord written notice at least  two  hundred seventy (270) days prior to the expiration of the then current Term, of its election to exercise its option, TIME BEING OF THE ESSENCE with respect to such notice.  Such notice of election to extend the term of the Lease shall be irrevocable. Except as specifically set forth herein, the Additional Terms shall be upon all of the terms and conditions of the Lease except that any articles which were intended to be one time, initial provisions or concessions (such as free Rent, Landlord Work, or a Tenant improvement allowance) shall be deemed to  have been satisfied and shall not apply to the Additional Terms. Also, there shall be no option to extend the term of the Lease beyond the Third Additional Term.  The exercise of the option for the First Additional Term is a condition precedent to the exercise of the option for the Second Additional Term and the exercise of option for the Second Additional Term is a condition precedent to the exercise of the option for the Third Additional Term.  (B) Option Base Rent - First Additional Term. In the event Tenant exercises  its option to extend the Term of the Lease for the First Additional Term as provided above, the Base Rent during each Lease Year of the First Additional Term shall be as set forth in Article 1(H)(i). Option Base Rent - Second Additional Term. In the event Tenant exercises its option to extend the Term of the Lease for the Second Additional Term as provided above, the Base Rent during each Lease Year of the Second Additional Term shall be as set forth in Article 1(H)(ii).Option Base Rent - Third Additional Term. In the event Tenant exercises its option to extend the Term of the Lease for the Third Additional Term as provided above, the Base Rent during each Lease Year of the Third Additional Term shall be as set forth in Article 1(H)(iii) ",Not Defined,on the first day of each calendar month,"shall bear interest on the payable amount from the date when due until paid at the Default Interest Rate (see Article 24(B)); in addition, Tenant shall pay Landlord a Fifty ($50.00) Dollar late charge for each overdue payment.","""Default Interest Rate"" as used in this Lease  shall  mean Fifteen (15%) Percent per annum or the maximum interest rate permitted by law, whichever is lower.  ",Options to Extend Lease.,TIME BEING OF THE ESSENCE ,Not Defined,Not Defined
SAK-044,Batch_2020-05-18_00-23-16,Not Defined,"LANDLORD agrees, that if the rent is being paid in the manner and at the time prescribed and the covenants and obligations of TENANT being all and singularly kept, fulfilled and performed, TENANT shalllawfhlly and peacefully have, hold, possess, use, occupy and enjoy the Premises as long as this Lease remains in force, without hindrance, disturbance or molestation from LANDLORD, subject to the provision of this Lease.",Not Defined, Rent is due on the first of each month. A late charge of five (5%) percent will be charged to TENANT on any rental payment not received by LANDLORD by the fifth (5th) ofthe month. ,TENANT shall have the option to renew this Lease for two (2) additional five (5) year terms. The annual minimum rent shall be adjusted accordingly by the C.P.I.  ,Not Defined,on the first of each month,A late charge of five (5%) percent will be charged to TENANT on any rental payment,Not Defined,RENEWAL OPTION,Not Defined,Not Defined,Not Defined
SAK-045,Batch_2020-05-18_00-23-16,Not Defined,"Tenant, upon paying the rents and performing all of the terms on its part to be performed under this Lease, shall peaceably and quietly enjoy the Premises  without hindrance or molestation from Landlord subject to the terms and provisions of this Lease subject, nevertheless, to the terms of this Lease and to any mortgage, ground lease or agreements to which this Lease is subordinated. Landlord shall not be liable for any interference or distlubance by other tenants or third persons, nor shall Tenant be released from any of the obligations of this Lease because of such interference or disturbance.",Not Defined, upon the first day of each calendar month ,"Tenant shall, provided the Lease is in full force and effect and Tenant is not in default under any of the terms and conditions of this Lease at the time of notification or commencement of the option beyond any notice and cure period, have the option to renew this Lease for two (2) additional consecutive five (5) year periods (each, an ""Option Period""), on the same terms and conditions set forth in the Lease, except as modified by the terms, covenants and conditions as set forth below:If Tenant elects to exercise said option, then Tenant shall provide Landlord with written notice no earlier than the date which is two hundred seventy (270) days prior to the expiration of the then current term of the Lease but no later than the date which is one hundred eighty (180) clays prior to the expiration of the current term of this Lease and Tenant shall have the option to extend the term of this Lease for an additional five (5) year period from the elate of expiration of the then current term of this Lease except that the Minimmn Rent in effect at the expiration of the then current term of this Lease shall be increased, commencing on the first day of the new renewal term. If Tenant fails to provide such notice, Tenant shall have no further or additional right to extend or renew the term of this Lease; The Minimum Rent under each ""Option Period"" is as follows:First Option Period: $19.80 per sq. ft.; $5,940.00 per month; andSecond Option Period: $21.78 per sq. ft.; $6,534.00 per month.  (c) Upon exercise of the reneúwal option as provided for above, the number of renewal options remaining to be exercised to be reduced by one and upon exercise of the last remaining renewal option Tenant shall have no further right to extend the term of the Lease. ",Not Defined,upon the first day of each calendar month,a late charge in an amount equal to five percent (5%) of each rent or other payment clue,"Each such payment of additional rent shall be due on the first day of each month, shall be calculated at the highest permissible rate of interest which may be charged under the laws of the state in which the Prernises are located [or if no maximum permissible rate is established by law, then at the rate of eighteen percent (18%) per annum] and shall be computed for the period commencing on the elate which is five (5) days following the date such payment became due and ending on the date on which such payment was act-ually made.",OPTION TO RENEW,Time is of the essence,Not Defined,Not Defined
SAK-064,Batch_2020-05-18_00-23-16,Not Defined,Not Defined,"Tenant shall maintain in full force and effect throughout the term of this Lease the following insurance policies: (a) occurrence commercial liability insurance in amounts of not less than a per occurrence limit of $1,000,000, with not less than a $2,000,000 general aggregate applying to the Building, insuring Tenant, and as additional insureds, Landlord, Landlord's managing agent, and their respective affiliates, as their interests may appear, against all liability or injury to or death of persons, or damage to property, arising from the use and/or occupancy of the Premises by Tenant or any of Tenant's agents, employees, contractors or invitees; (b) contractual liability insurance coverage sufficient to cover Tenant's indemnity obligations hereunder, to the extent insurable; (c) cross liability coverage; (d) special form - causes of loss property insurance covering the full value of all property within the Premises including, without limitation, Tenant's equipment, inventory, trade fixtures and supplies, all interior finish constructed by either Landlord or Tenant within the Premises, and all property of any third persons placed or otherwise  located within the  Premises; and (e) business interruption insurance.  ","In the event Tenant should fail to pay to Landlord any Rent or other charge when due, such unpaid amounts shall bear interest from the due date through the date of payment, in an amount equal to ten percent (10%) per annum. If Tenant shall fail to pay any Rent or other charge when due, then Tenant shall also pay to Landlord a late fee for Landlord's increased administrative expenses, in an amount equal to five percent (5%), per month, of the amount owed Landlord. In addition to the aforesaid, in the event any check or payment made by Tenant is not honored or is otherwise returned by Landlord's bank, Tenant shall pay to Landlord an additional charge of Fifty and 00/100 Dollars ($50.00) for each such returned payment. All interest, late fees and additional charges payable pursuant to this. Section shall be paid to Landlord as Additional Rent hereunder. Notwithstanding the foregoing, Tenant shall be granted one ten-day grace period each 12 month period during the Term (each, a ""Grace Period""). Provided Tenant pays Rent in full within the Grace Period, no interest or fees shall be due with respect to that month's Rent. ",Two (2) options  of  Five  (5) years.,"Following the 60th month after the Rent Commencement Date, Tenant shall have a one-time right to terminate this Lease by giving Landlord 90 days written notice (the ""Termination Notice""). If Tenant elects to terminate the Lease, Tenant will reimburse Landlord fifty percent (50%) of the Tenant's broker's commission and fifty percent (50%) of the Tenant Improvement Allowance. If Tenant does not provide the Termination Notice before the 63rd month following the Rent Commencement Date, Tenant will no longer have the right to terminate and the Lease shall remain in full force and effect for the remainder of the Term.",on the first day of each month,Not Defined,"In the event Tenant should fail to pay to Landlord any Rent or other charge when due, such unpaid amounts shall bear interest from the due date through the date of payment, in an amount equal to ten percent (10%) per annum. If Tenant shall fail to pay any Rent or other charge when due, then Tenant shall also pay to Landlord a late fee for Landlord's increased administrative expenses, in an amount equal to five percent (5%), per month, of the amount owed Landlord",Option Term,Not Defined,right to terminate,Not Defined
